criterion,max_depth,min_samples_leaf,min_samples_split,score,splitter
mse,3,16,16,0.03449200121927132,best
mse,3,26,16,0.03449200121927132,best
mse,3,42,16,0.03874822775889608,best
mse,3,16,26,0.03449200121927132,best
mse,3,26,26,0.03449200121927132,best
mse,3,42,26,0.03874822775889608,best
mse,3,16,42,0.03449200121927132,best
mse,3,26,42,0.03449200121927132,best
mse,3,42,42,0.03874822775889608,best
mse,3,16,16,0.03449200121926166,random
mse,3,26,16,0.03449200121926166,random
mse,3,42,16,0.03874822775887876,random
mse,3,16,26,0.03449200121926166,random
mse,3,26,26,0.03449200121926166,random
mse,3,42,26,0.03874822775887876,random
mse,3,16,42,0.03449200121926166,random
mse,3,26,42,0.03449200121926166,random
mse,3,42,42,0.03874822775887876,random
mse,4,16,16,0.027131909096338225,best
mse,4,26,16,0.026582920575766278,best
mse,4,42,16,0.02968055998265906,best
mse,4,16,26,0.027131909096338225,best
mse,4,26,26,0.026582920575766278,best
mse,4,42,26,0.02968055998265906,best
mse,4,16,42,0.02688373873551808,best
mse,4,26,42,0.026582920575766278,best
mse,4,42,42,0.02968055998265906,best
mse,4,16,16,0.027131909096339446,random
mse,4,26,16,0.02658292057576639,random
mse,4,42,16,0.02968055998265573,random
mse,4,16,26,0.027131909096339446,random
mse,4,26,26,0.02658292057576639,random
mse,4,42,26,0.02968055998265573,random
mse,4,16,42,0.02688373873550709,random
mse,4,26,42,0.02658292057576639,random
mse,4,42,42,0.02968055998265573,random
mse,5,16,16,0.028677062852977442,best
mse,5,26,16,0.029282752560336522,best
mse,5,42,16,0.02854226558360684,best
mse,5,16,26,0.028677062852977442,best
mse,5,26,26,0.029282752560336522,best
mse,5,42,26,0.02854226558360684,best
mse,5,16,42,0.02843532225946399,best
mse,5,26,42,0.029282752560336522,best
mse,5,42,42,0.02854226558360684,best
mse,5,16,16,0.02867706285298377,random
mse,5,26,16,0.02928275256033741,random
mse,5,42,16,0.028542265583603843,random
mse,5,16,26,0.02867706285298377,random
mse,5,26,26,0.02928275256033741,random
mse,5,42,26,0.028542265583603843,random
mse,5,16,42,0.02843532225947698,random
mse,5,26,42,0.02928275256033741,random
mse,5,42,42,0.028542265583603843,random
mse,6,16,16,0.03478175054221533,best
mse,6,26,16,0.03506494550593242,best
mse,6,42,16,0.02201485273795356,best
mse,6,16,26,0.03478175054221533,best
mse,6,26,26,0.03506494550593242,best
mse,6,42,26,0.02201485273795356,best
mse,6,16,42,0.03567504724209958,best
mse,6,26,42,0.03506494550593242,best
mse,6,42,42,0.02201485273795356,best
mse,6,16,16,0.03478175054221366,random
mse,6,26,16,0.035064945505919876,random
mse,6,42,16,0.022014852737950896,random
mse,6,16,26,0.03478175054221366,random
mse,6,26,26,0.035064945505919876,random
mse,6,42,26,0.022014852737950896,random
mse,6,16,42,0.03567504724209414,random
mse,6,26,42,0.035064945505919876,random
mse,6,42,42,0.022014852737950896,random
mse,7,16,16,0.04691545246203277,best
mse,7,26,16,0.05073964129766817,best
mse,7,42,16,0.02073942531251538,best
mse,7,16,26,0.04691545246203277,best
mse,7,26,26,0.05073964129766817,best
mse,7,42,26,0.02073942531251538,best
mse,7,16,42,0.04780336254104767,best
mse,7,26,42,0.05073964129766817,best
mse,7,42,42,0.02073942531251538,best
mse,7,16,16,0.04691545246203499,random
mse,7,26,16,0.05073964129766806,random
mse,7,42,16,0.020739425312514492,random
mse,7,16,26,0.04691545246203499,random
mse,7,26,26,0.05073964129766806,random
mse,7,42,26,0.020739425312514492,random
mse,7,16,42,0.047803362541050776,random
mse,7,26,42,0.05073964129766806,random
mse,7,42,42,0.020739425312514492,random
mse,8,16,16,0.04603110417262346,best
mse,8,26,16,0.047336939346831475,best
mse,8,42,16,0.014841843527655274,best
mse,8,16,26,0.04603110417262346,best
mse,8,26,26,0.047336939346831475,best
mse,8,42,26,0.014841843527655274,best
mse,8,16,42,0.04691417756413896,best
mse,8,26,42,0.047336939346831475,best
mse,8,42,42,0.014841843527655274,best
mse,8,16,16,0.04603110417261724,random
mse,8,26,16,0.04733693934682959,random
mse,8,42,16,0.014841843527660603,random
mse,8,16,26,0.04603110417261724,random
mse,8,26,26,0.04733693934682959,random
mse,8,42,26,0.014841843527660603,random
mse,8,16,42,0.04691417756413374,random
mse,8,26,42,0.04733693934682959,random
mse,8,42,42,0.014841843527660603,random
mse,9,16,16,0.04852065835085406,best
mse,9,26,16,0.05259589038272783,best
mse,9,42,16,0.009051638094661363,best
mse,9,16,26,0.04852065835085406,best
mse,9,26,26,0.05259589038272783,best
mse,9,42,26,0.009051638094661363,best
mse,9,16,42,0.04799303807578903,best
mse,9,26,42,0.05259589038272783,best
mse,9,42,42,0.009051638094661363,best
mse,9,16,16,0.04852065835085728,random
mse,9,26,16,0.05259589038272805,random
mse,9,42,16,0.009051638094663472,random
mse,9,16,26,0.04852065835085728,random
mse,9,26,26,0.05259589038272805,random
mse,9,42,26,0.009051638094663472,random
mse,9,16,42,0.04799303807578881,random
mse,9,26,42,0.05259589038272805,random
mse,9,42,42,0.009051638094663472,random
mse,10,16,16,0.04585155359255633,best
mse,10,26,16,0.036402606133256854,best
mse,10,42,16,0.0036635299753454698,best
mse,10,16,26,0.04585155359255633,best
mse,10,26,26,0.036402606133256854,best
mse,10,42,26,0.0036635299753454698,best
mse,10,16,42,0.04623699436630113,best
mse,10,26,42,0.036402606133256854,best
mse,10,42,42,0.0036635299753454698,best
mse,10,16,16,0.045851553592555105,random
mse,10,26,16,0.03640260613325674,random
mse,10,42,16,0.0036635299753429162,random
mse,10,16,26,0.045851553592555105,random
mse,10,26,26,0.03640260613325674,random
mse,10,42,26,0.0036635299753429162,random
mse,10,16,42,0.04623699436630202,random
mse,10,26,42,0.03640260613325674,random
mse,10,42,42,0.0036635299753429162,random
