criterion,max_depth,min_samples_leaf,min_samples_split,score,splitter
mse,7,5,5,0.03978809382874526,best
mse,7,10,5,0.05191397639847073,best
mse,7,15,5,0.03609904019280252,best
mse,7,25,5,0.051052854195653086,best
mse,7,40,5,0.03397578996771855,best
mse,7,65,5,0.030099565291504815,best
mse,7,105,5,-0.14479758698044098,best
mse,7,5,10,0.03978809382874526,best
mse,7,10,10,0.05191397639847073,best
mse,7,15,10,0.03609904019280252,best
mse,7,25,10,0.051052854195653086,best
mse,7,40,10,0.03397578996771855,best
mse,7,65,10,0.030099565291504815,best
mse,7,105,10,-0.14479758698044098,best
mse,7,5,15,0.055449521911158595,best
mse,7,10,15,0.05191397639847073,best
mse,7,15,15,0.03609904019280252,best
mse,7,25,15,0.051052854195653086,best
mse,7,40,15,0.03397578996771855,best
mse,7,65,15,0.030099565291504815,best
mse,7,105,15,-0.14479758698044098,best
mse,7,5,25,0.059319798077146046,best
mse,7,10,25,0.05169593756101043,best
mse,7,15,25,0.03609904019280252,best
mse,7,25,25,0.051052854195653086,best
mse,7,40,25,0.03397578996771855,best
mse,7,65,25,0.030099565291504815,best
mse,7,105,25,-0.14479758698044098,best
mse,7,5,40,0.05572258908479677,best
mse,7,10,40,0.05545245919559971,best
mse,7,15,40,0.035738566588965126,best
mse,7,25,40,0.051052854195653086,best
mse,7,40,40,0.03397578996771855,best
mse,7,65,40,0.030099565291504815,best
mse,7,105,40,-0.14479758698044098,best
mse,7,5,65,0.05818039833889865,best
mse,7,10,65,0.05037284693027566,best
mse,7,15,65,0.0346729577292203,best
mse,7,25,65,0.049744759889475354,best
mse,7,40,65,0.03397578996771855,best
mse,7,65,65,0.030099565291504815,best
mse,7,105,65,-0.14479758698044098,best
mse,7,5,105,0.053291281638208066,best
mse,7,10,105,0.055454135168778285,best
mse,7,15,105,0.03696415756134008,best
mse,7,25,105,0.05535107469154665,best
mse,7,40,105,0.03228508413235953,best
mse,7,65,105,0.030099565291504815,best
mse,7,105,105,-0.14479758698044098,best
mse,7,5,5,0.039156339884586444,random
mse,7,10,5,0.05191397639847306,random
mse,7,15,5,0.03609904019279575,random
mse,7,25,5,0.05105285419565664,random
mse,7,40,5,0.03397578996771844,random
mse,7,65,5,0.030099565291501817,random
mse,7,105,5,-0.14479758698044054,random
mse,7,5,10,0.039156339884586444,random
mse,7,10,10,0.05191397639847306,random
mse,7,15,10,0.03609904019279575,random
mse,7,25,10,0.05105285419565664,random
mse,7,40,10,0.03397578996771844,random
mse,7,65,10,0.030099565291501817,random
