criterion,max_depth,min_samples_leaf,min_samples_split,score,splitter
mse,2,2,2,0.5700562638175071,best
mse,2,3,2,0.5700562638175071,best
mse,2,5,2,0.5700562638175071,best
mse,2,10,2,0.5700562638175071,best
mse,2,15,2,0.5700562638175071,best
mse,2,25,2,0.5700562638175071,best
mse,2,40,2,0.5700562638175071,best
mse,2,65,2,0.5700562638175071,best
mse,2,105,2,0.5700562638175071,best
mse,2,2,3,0.5700562638175071,best
mse,2,3,3,0.5700562638175071,best
mse,2,5,3,0.5700562638175071,best
mse,2,10,3,0.5700562638175071,best
mse,2,15,3,0.5700562638175071,best
mse,2,25,3,0.5700562638175071,best
mse,2,40,3,0.5700562638175071,best
mse,2,65,3,0.5700562638175071,best
mse,2,105,3,0.5700562638175071,best
mse,2,2,5,0.5700562638175071,best
mse,2,3,5,0.5700562638175071,best
mse,2,5,5,0.5700562638175071,best
mse,2,10,5,0.5700562638175071,best
mse,2,15,5,0.5700562638175071,best
mse,2,25,5,0.5700562638175071,best
mse,2,40,5,0.5700562638175071,best
mse,2,65,5,0.5700562638175071,best
mse,2,105,5,0.5700562638175071,best
mse,2,2,10,0.5700562638175071,best
mse,2,3,10,0.5700562638175071,best
mse,2,5,10,0.5700562638175071,best
mse,2,10,10,0.5700562638175071,best
mse,2,15,10,0.5700562638175071,best
mse,2,25,10,0.5700562638175071,best
mse,2,40,10,0.5700562638175071,best
mse,2,65,10,0.5700562638175071,best
mse,2,105,10,0.5700562638175071,best
mse,2,2,15,0.5700562638175071,best
mse,2,3,15,0.5700562638175071,best
mse,2,5,15,0.5700562638175071,best
mse,2,10,15,0.5700562638175071,best
mse,2,15,15,0.5700562638175071,best
mse,2,25,15,0.5700562638175071,best
mse,2,40,15,0.5700562638175071,best
mse,2,65,15,0.5700562638175071,best
mse,2,105,15,0.5700562638175071,best
mse,2,2,25,0.5700562638175071,best
mse,2,3,25,0.5700562638175071,best
mse,2,5,25,0.5700562638175071,best
mse,2,10,25,0.5700562638175071,best
mse,2,15,25,0.5700562638175071,best
mse,2,25,25,0.5700562638175071,best
mse,2,40,25,0.5700562638175071,best
mse,2,65,25,0.5700562638175071,best
mse,2,105,25,0.5700562638175071,best
mse,2,2,40,0.5700562638175071,best
mse,2,3,40,0.5700562638175071,best
mse,2,5,40,0.5700562638175071,best
mse,2,10,40,0.5700562638175071,best
mse,2,15,40,0.5700562638175071,best
mse,2,25,40,0.5700562638175071,best
mse,2,40,40,0.5700562638175071,best
mse,2,65,40,0.5700562638175071,best
mse,2,105,40,0.5700562638175071,best
mse,2,2,65,0.5700562638175071,best
mse,2,3,65,0.5700562638175071,best
mse,2,5,65,0.5700562638175071,best
mse,2,10,65,0.5700562638175071,best
mse,2,15,65,0.5700562638175071,best
mse,2,25,65,0.5700562638175071,best
mse,2,40,65,0.5700562638175071,best
mse,2,65,65,0.5700562638175071,best
mse,2,105,65,0.5700562638175071,best
mse,2,2,105,0.5700562638175071,best
mse,2,3,105,0.5700562638175071,best
mse,2,5,105,0.5700562638175071,best
mse,2,10,105,0.5700562638175071,best
mse,2,15,105,0.5700562638175071,best
mse,2,25,105,0.5700562638175071,best
mse,2,40,105,0.5700562638175071,best
mse,2,65,105,0.5700562638175071,best
mse,2,105,105,0.5700562638175071,best
mse,2,2,2,0.4557995244771952,random
mse,2,3,2,0.4557995244771952,random
mse,2,5,2,0.4557995244771952,random
mse,2,10,2,0.4557995244771952,random
mse,2,15,2,0.4557995244771952,random
mse,2,25,2,0.4557995244771952,random
mse,2,40,2,0.4557995244771952,random
mse,2,65,2,0.4557995244771952,random
mse,2,105,2,0.4557995244771952,random
mse,2,2,3,0.4557995244771952,random
mse,2,3,3,0.4557995244771952,random
mse,2,5,3,0.4557995244771952,random
mse,2,10,3,0.4557995244771952,random
mse,2,15,3,0.4557995244771952,random
mse,2,25,3,0.4557995244771952,random
mse,2,40,3,0.4557995244771952,random
mse,2,65,3,0.4557995244771952,random
mse,2,105,3,0.4557995244771952,random
mse,2,2,5,0.4557995244771952,random
mse,2,3,5,0.4557995244771952,random
mse,2,5,5,0.4557995244771952,random
mse,2,10,5,0.4557995244771952,random
mse,2,15,5,0.4557995244771952,random
mse,2,25,5,0.4557995244771952,random
mse,2,40,5,0.4557995244771952,random
mse,2,65,5,0.4557995244771952,random
mse,2,105,5,0.4557995244771952,random
mse,2,2,10,0.4557995244771952,random
mse,2,3,10,0.4557995244771952,random
mse,2,5,10,0.4557995244771952,random
mse,2,10,10,0.4557995244771952,random
mse,2,15,10,0.4557995244771952,random
mse,2,25,10,0.4557995244771952,random
mse,2,40,10,0.4557995244771952,random
mse,2,65,10,0.4557995244771952,random
mse,2,105,10,0.4557995244771952,random
mse,2,2,15,0.4557995244771952,random
mse,2,3,15,0.4557995244771952,random
mse,2,5,15,0.4557995244771952,random
mse,2,10,15,0.4557995244771952,random
mse,2,15,15,0.4557995244771952,random
mse,2,25,15,0.4557995244771952,random
mse,2,40,15,0.4557995244771952,random
mse,2,65,15,0.4557995244771952,random
mse,2,105,15,0.4557995244771952,random
